Hospital_name,Latitude,Longitude
Trạm y tế,20.9209274,106.0948577
Cong Ty CP Benh Vien Da Khoa Hoa Xuan,16.0681938,108.2013645
Benh Vien Y Hoc Co Truyen Tp.Da Nang,16.054196,108.2190335
Benh Vien Phu Nu Tp.Da Nang,16.0569875,108.2182556
Trung Tam Bac Si Gia Dinh Da Nang,16.0536495,108.2089108
Benh Vien Ngoai Khoa Nguyen Van Thai,16.0541328,108.233067
Hoan My General Hospital,16.059401,108.2098753
Benh Vien Da Khoa Binh Dan,16.0713797,108.2001187
Benh Vien Tu Binh Dan,16.0686754,108.2189349
Trung Tam Phuc Hoi Co Nhi Suy Dinh Duong Da Nang,16.0824806,108.2205999
Benh Vien Y Hoc Co Truyen Tp Da Nang,16.0249226,108.2142699
Chưa có tên,10.7929834,106.6704335
TTYT Cộng Đồng,21.1071523,106.3974123
Trung Tâm Y Tế Dự Phòng - Phòng Khám Tiêm Phòng,10.764268,106.707021
Phòng Chẩn Trị Y Học Cổ Truyền Tư Nhân,10.5371749,106.4121969
Bệnh Viện Đa Khoa Long An - Khoa Nội A1,10.5392545,106.4194209
Điểm Sơ Cấp Cứu,10.5448297,106.3882369
Phòng Khám Đa Khoa Trung Tâm Y Tế Đà Lạt,11.9398477,108.4329545
Trạm y tế Tân Biên,11.5478023,106.0016526
Lang Co Hospital,16.2367913,108.078659
Bệnh viện Đại học Tây Nguyên,12.6504798,108.0230837
Trạm Y Tế Xã Quang Thiện,20.0987549,106.1047138
Trạm y tế xã Nậm Mòn,22.4861752,104.2486435
Hội Đông Y,10.0296653,105.7762811
Trạm Y tế P. Xuân Khánh,10.0306927,105.7731243
Nha khoa Hưng Lợi,10.0223343,105.7659144
Trạm y tế Hưng Lợi,10.0210749,105.7699058
Trung tâm y tế dự phòng Cần Thơ,10.0440487,105.7816809
TT Nha khoa Mỹ Thuật Cao,10.0437641,105.7815365
Trạm Y tế,10.0402647,105.785331
Trạm Y tế Cái Khế,10.0451555,105.7826643
Bệnh viện phụ sản quốc tế Phương Châu,10.0303545,105.7513901
Bệnh Viện Bình Dân,10.3751746,105.4416699
Trạm Y tế Mỹ Phước,10.3655131,105.4435206
Bệnh viện Hạnh Phúc,10.3552363,105.4584414
Trạm Y tế phường Mỹ Thạnh,10.3460092,105.4666627
Trạm Y tế phường Mỹ Thới,10.3458084,105.4667325
Bệnh viện Mỹ Tú,9.634081,105.8114188
Chưa có tên,16.1016726,108.2486987
Raffles Internation Health Clinic,10.3503097,107.0714235
Trạm Y tế Bình An,10.1615278,104.6142991
Trạm y tế Dương Hòa,10.3040973,104.5335152
Trạm Y tế xã Thới Hưng,10.1227951,105.5267268
trạm y tế xã xuân thắng,10.0840697,105.547602
trạm y tế Tân Hưng,10.1876873,105.5506934
Bênh viện Quân Y,13.0969173,109.3148522
Bênh viện Y học Cổ truyền,20.8543991,106.6741672
Nha khoa quốc tế,20.8478209,106.6716269
Bệnh viện Phụ sản Mekong,10.7998479,106.6675233
Bệnh Viện Đa Khoa Thăng Long,20.9542742,105.8384237
Columbia Asia Saigon,10.7795758,106.6965213
Bệnh viện phụ sản Vuông Tròn,10.3785311,105.4348273
Trung Tâm Chẩn Đoán Y Khoa Medic - BV Hòa Hảo,10.762528,106.6701859
Bệnh viện Đa khoa Quốc Tế Miền Đông,10.9034999,106.7102737
Trạm y tế xã Tân Phong,20.7358759,106.711328
Trạm Y tế xã Thạnh Mỹ,10.2477654,105.412925
Bệnh viện Đa khoa huyện Vĩnh Thạnh,10.2363471,105.4023571
Paris Miki Vietnam,21.0492003,105.8400348
Trạm Y tế Bình Thành,10.5431087,105.5374986
Bác sĩ Thanh Tú - Tim Mạch,10.4620627,105.6300593
Trạm Y tế Hòa Thuận,10.4619383,105.6279102
Bác sĩ Cường,10.5401518,105.5403949
TYT Phường 6,10.4299931,105.634159
Chưa có tên,12.6909493,108.0303902
Trạm y tế Xã Bình Dương,21.2461978,105.5182179
Vinmec,10.3365974,103.8565939
Bệnh viện Mắt Thái Nguyên,21.6015817,105.8240667
Trạm y tế xã Nga Thủy,19.9799057,105.9841948
Thuốc Nam Thầy Thanh,11.0253391,106.6312288
Chưa có tên,10.3756299,106.3259999
Bệnh Viện Quốc Tế Minh Anh,10.747644,106.6143869
Bệnh Viện Mắt Sài Gòn,10.7713711,106.6909391
Chưa có tên,10.5579943,105.2854773
Phòng Thí Nghiệm - Kiểm Tra Sức Khoẻ,10.7603786,106.6798139
HTV,10.9298113,106.6855964
Bệnh Viện Tâm Thần tp. Cần thơ,10.0130976,105.7570655
bien vien le ngoc tung,11.3084036,106.1077786
Chưa có tên,10.7774803,106.6432036
Bệnh viện Huyện Cưkuin,12.6277006,108.126092
Bệnh Viện Tuy Phong,11.2287571,108.7278198
Bệnh Viện Đa Khoa Mỹ Đức,10.7999684,106.6415956
Trung Tam y te du phong tinh binh dinh (Vaccination center),13.7927447,109.2045626
bệnh viện quân y 108,20.6739919,105.3161392
Nhà Thuốc Thái Thanh,10.7255507,106.7339143
Pacific Hospital,15.8843233,108.3280358
Trạm y tế xã Bản Phùng,22.7849984,104.5824129
Bệnh Viện Đa Khoa Quang Khởi,19.247909,105.707136
Chưa có tên,22.3976707,103.8405279
Chưa có tên,22.3661486,103.857035
Khu Điều Trị,22.6567563,106.2622083
Mái ấm tình thương,22.2563829,106.4753374
An Phước,10.9321621,108.0978252
Chưa có tên,21.7078923,104.9960015
Chưa có tên,19.5798227,105.756528
Chưa có tên,19.5770364,105.7542099
Bệnh viện Đa Khoa KV Ninh Hoà,12.50917,109.137285
An Phước,10.9324448,108.097889
bệnh viện quốc tế VINMEC,16.0387848,108.2112894
Chưa có tên,10.7845666,106.7688866
ca xa Mỹ phú,10.6370445,105.2023123
Trung Tâm Hiến Múa Nhân Đạo,10.7756389,106.6557898
BV Binh Thuan,10.9176855,108.0847481
Chưa có tên,22.3460908,103.8571672
Đa khoa tw,10.0763554,105.7489456
Phòng Khám YHCT Gia Đức,10.0197355,105.7687082
Chưa có tên,12.2530712,109.1776875
CX vịnh tre,10.6021742,105.2195665
Phòng khám đa khoa Hoàn hảo,10.029377,105.7537586
Bệnh viện Đa khoa Kinh Bắc,21.1633089,106.0749746
Trung tâm ý tế xã Phú Thuận,8.9168807,104.9384527
Trung tâm y tế dự phòng quận Hà Đông,20.9677609,105.7789877
Bệnh viện Đa khoa Hoàn Hảo Medic Cần Thơ,10.0490309,105.7766544
Beệnh viện phụ sản quốc tế Phương Châu,10.0298526,105.750559
Hội Chữ Thập Đỏ Việt Nam Thành Phố Cần Thơ,10.0443305,105.7789192
Trạm y tế phường An Thới,10.061234,105.763903
phòng chuẩn trị y học cổ truyền tư nhân TRINH vương,10.0208,105.77126
Trạm Y Tế An Phú,10.0330366,105.7797441
Phòng khám chuyên khoa Ung bướu,10.0292299,105.7717384
Trạm Y tế Xã Mỹ Khánh,9.9954674,105.7155535
Bệnh Viện Hòa Hảo,10.7626193,106.6702604
Trạm y tế Long Tuyền,10.0247709,105.719617
Chưa có tên,22.4870609,103.9789742
Công Ty Cổ Phần Dược Phẩm Thiết bị Y tế Hà Tĩnh,18.3460042,105.8903097
Nhà thuốc Thành Sen,18.3359062,105.8929872
Phòng Khám Đa Khoa Thế Giới,10.7519331,106.6843795
Columbia Asia Hospital,10.9507189,106.7070657
Bệnh viện Thanh Vũ Bạc Liêu,9.3118109,105.7146461
Trạm y tế xã Hiếu,14.6523987,108.4397431
Cổng bảo vệ hướng Nam Kỳ Khởi Nghĩa,15.9782232,108.2619988
Cổng bảo vệ hướng Hẻm 10/6 Trần Đại Nghĩa,15.979136,108.2633077
Cổng bảo vệ Sân bóng Fpt Software,15.979252,108.2610305
Bệnh viện đa khoa Hợp Lực,19.8276263,105.7786405
Chưa có tên,20.921967,105.882146
Bệnh Viện Đa Khoa Trà Ôn,9.9699732,105.9219342
Chưa có tên,15.8791223,108.3195682
Phòng khám Đa khoa Quốc tế Hà Nội,21.0101268,105.8382699
DAI GIANG,10.7704948,105.1100804
Nhà hộ sinh A,21.024432,105.8548261
bệnh viện cát lâm 2,11.5675731,107.3114917
Bệnh viện Đa khoa Tâm Trí Đà Nẵng,16.02277,108.2143058
Nguyễn Hồng Trang ( Kế Toán Trưởng BV Cư Jut,12.5828235,107.9002105
Trạm Y tế xã Nghĩa Hương,20.9727604,105.6144225
Bệnh Viện Sài Gòn ITO,10.7950017,106.6672345
Phòng Khám Đa Khoa Hữu Nghị,10.848021,106.6783081
Vinmec Marina,20.8228435,106.6875837
